asset,amount,activity_type,timestamp,user_id
NGN,327900,withdrawal,2025-03-12T15:04:47.164521Z,521-1501-1521-1561-198
NGN,200000,withdrawal,2025-01-17T14:49:10.372127Z,1001-1511-1521-1561-1101
SOL,0.02511497,deposit,2025-01-17T14:49:25.41436Z,501-1991-1521-1561-157
NGN,60000,withdrawal,2025-01-17T14:49:29.38544Z,481-1551-1521-1561-151
NGN,60000,withdrawal,2025-01-17T14:49:35.596183Z,481-1551-1521-1561-151
NGN,18200,withdrawal,2025-03-12T13:27:08.655688Z,981-11001-1521-1561-151
NGN,17704,withdrawal,2025-01-17T14:49:50.209297Z,491-1551-1521-1981-198
NGN,12250,withdrawal,2025-01-17T14:50:14.045561Z,971-1531-1521-1981-153
NGN,20000,withdrawal,2025-01-17T14:50:25.036943Z,1021-1521-1521-1561-148
NGN,4603,withdrawal,2025-03-12T11:11:53.293145Z,511-1981-1521-1981-1101
NGN,15030,withdrawal,2025-03-12T13:27:11.766058Z,1001-1521-1521-1971-1102
NGN,35448,withdrawal,2025-04-01T12:00:05.121859Z,981-1501-1521-1981-148
NGN,4800,withdrawal,2025-03-12T13:27:19.439193Z,981-11001-1521-1561-151
NGN,65023,withdrawal,2025-01-17T14:51:42.033165Z,981-1521-1521-1561-157
NGN,50000,withdrawal,2025-01-17T14:52:05.52387Z,971-11001-1521-1571-1101
NGN,12370,withdrawal,2025-03-12T15:04:57.038509Z,981-1541-1521-1981-154
NGN,1993,withdrawal,2025-01-17T14:53:49.814584Z,531-1491-1521-1571-199
NGN,1500,withdrawal,2025-01-17T14:53:22.873047Z,491-1541-1521-1561-198
NGN,5000,withdrawal,2025-01-17T14:53:39.405023Z,561-1551-1521-1561-152
NGN,50239,withdrawal,2025-01-17T14:54:26.687554Z,541-1991-1521-1561-157
ETH,0.0575749,deposit,2025-03-12T16:56:56.417054Z,511-11011-1521-1971-151
NGN,60000,withdrawal,2025-03-12T17:28:12.761747Z,491-1491-1521-1981-153
NGN,10000,withdrawal,2025-01-17T14:55:49.455948Z,1021-1501-1521-1971-150
NGN,89773,withdrawal,2025-01-17T14:55:59.573531Z,1021-1481-1521-1561-1100
NGN,27500,withdrawal,2025-01-17T14:56:25.270223Z,991-1551-1521-1571-154
NGN,10000,withdrawal,2025-01-17T14:56:29.820892Z,991-1491-1521-1971-154
NGN,10000,deposit,2025-01-17T14:56:29.827286Z,1011-1541-1521-1561-149
NGN,14969,withdrawal,2025-01-17T14:56:43.704247Z,1001-1991-1521-1971-154
NGN,500,deposit,2025-01-17T14:56:46.327795Z,541-1561-1521-1971-157
NGN,7931,withdrawal,2025-01-17T14:56:53.191137Z,1001-11001-1521-1561-154
ETH,0.01563265,deposit,2025-01-17T14:57:11.033724Z,491-1521-1521-1971-148
NGN,204000,withdrawal,2025-03-12T13:27:34.531684Z,551-1511-1521-1981-151
NGN,13216,withdrawal,2025-03-12T16:07:24.704629Z,551-11011-1521-1981-157
NGN,10000,withdrawal,2025-01-17T14:57:36.092177Z,1021-1511-1521-1981-1101
NGN,9999,withdrawal,2025-01-17T14:57:41.246344Z,1001-11001-1521-1561-154
NGN,60000,withdrawal,2025-01-17T14:58:15.137558Z,571-11021-1521-1971-154
NGN,204000,withdrawal,2025-01-17T14:58:15.443244Z,501-1981-1521-1561-152
NGN,50000,withdrawal,2025-03-12T11:13:02.364947Z,551-1541-1521-1981-199
NGN,75394,withdrawal,2025-03-12T11:13:13.203081Z,571-1991-1521-1571-198
NGN,4004,withdrawal,2025-03-12T11:13:18.627146Z,551-1531-1521-1571-1102
USDT,11,deposit,2025-03-12T13:27:46.71481Z,531-1511-1521-1561-199
USDT,31.29904931,deposit,2025-01-17T14:58:52.364141Z,981-1571-1521-1971-151
NGN,64550,withdrawal,2025-01-17T14:58:57.479201Z,531-11001-1521-1561-149
NGN,57500,withdrawal,2025-01-17T14:59:53.81803Z,971-11001-1521-1571-1101
NGN,25000,withdrawal,2025-01-17T15:00:00.966015Z,551-1981-1521-1981-153
NGN,280000,deposit,2025-03-12T11:13:19.535273Z,501-1971-1521-1561-157
NGN,14751,withdrawal,2025-01-17T15:00:18.904511Z,971-11021-1521-1971-1101
USDT,116.81,deposit,2025-01-17T15:00:53.485855Z,501-1521-1521-1981-1102
NGN,549500,withdrawal,2025-01-17T15:01:22.511902Z,541-1511-1521-1981-155
NGN,15000,deposit,2025-01-17T15:01:28.448075Z,561-11011-1521-1561-197
NGN,20000,withdrawal,2025-03-12T11:13:28.830467Z,491-1541-1521-1571-1100
NGN,33473,withdrawal,2025-04-01T12:00:08.148905Z,1001-1501-1521-1561-1101
NGN,25000,withdrawal,2025-04-01T12:00:11.714754Z,551-11021-1521-1561-157
NGN,7547,withdrawal,2025-04-01T12:50:40.494974Z,971-11001-1521-1561-1102
NGN,16100,withdrawal,2025-01-17T15:01:28.94576Z,521-1571-1521-1971-1100
NGN,6600,withdrawal,2025-01-17T15:01:52.978183Z,1011-11001-1521-1981-1101
NGN,10100,withdrawal,2025-01-17T15:02:09.905787Z,1011-11001-1521-1981-1101
NGN,8804,withdrawal,2025-01-17T15:02:12.335362Z,501-1991-1521-1561-157
NGN,44000,withdrawal,2025-01-17T15:02:58.262478Z,561-1531-1521-1571-199
NGN,20042,withdrawal,2025-01-17T15:03:23.181417Z,501-11001-1521-1981-1100
USDT,59,deposit,2025-01-17T15:03:28.621388Z,1011-1521-1521-1571-1100
NGN,30000,withdrawal,2025-01-17T15:04:04.310938Z,1001-1971-1521-1981-1102
NGN,47000,withdrawal,2025-03-12T16:07:35.343554Z,491-1981-1521-1561-1101
NGN,200000,withdrawal,2025-03-12T16:57:10.07175Z,511-1511-1521-1981-150
ETH,0.013688,deposit,2025-01-17T15:04:41.613245Z,971-1481-1521-1971-149
NGN,7100,withdrawal,2025-01-17T15:04:46.795165Z,1001-1971-1521-1561-151
NGN,250000,deposit,2025-01-17T15:04:47.613914Z,481-11011-1521-1971-1100
NGN,2500,withdrawal,2025-01-17T15:04:48.826078Z,481-11021-1521-1971-1101
NGN,152376,withdrawal,2025-01-17T15:05:06.215823Z,991-1501-1521-1561-150
NGN,8000,withdrawal,2025-01-17T15:06:49.018676Z,521-11001-1521-1561-198
NGN,85000,withdrawal,2025-03-12T11:13:51.292444Z,551-1971-1521-1561-148
NGN,5500,withdrawal,2025-03-12T13:28:40.717587Z,561-1571-1521-1561-1100
NGN,20100,withdrawal,2025-03-12T17:41:40.570704Z,551-1991-1521-1571-1102
ETH,0.013808,withdrawal,2025-01-17T15:00:53.584126Z,1011-1561-1521-1981-151
NGN,742000,withdrawal,2025-01-17T15:06:24.302029Z,481-11011-1521-1971-1100
NGN,45000,withdrawal,2025-01-17T15:06:29.760846Z,971-1521-1521-1561-157
BTC,0.00184207,deposit,2025-01-17T15:07:03.045175Z,981-1481-1521-1971-1100
BTC,0.00148617,deposit,2025-01-17T15:07:03.859127Z,551-1541-1521-1571-150
NGN,10000,withdrawal,2025-03-12T13:29:04.439446Z,541-1531-1521-1981-152
NGN,25000,withdrawal,2025-03-12T15:05:45.624294Z,481-1991-1521-1981-1101
BTC,0.00096931,deposit,2025-01-17T15:07:14.100041Z,1011-1521-1521-1571-153
BTC,0.00067982,deposit,2025-01-17T15:07:21.437198Z,501-11021-1521-1561-154
BTC,0.00282612,deposit,2025-01-17T15:07:24.340232Z,971-1491-1521-1971-1102
BTC,0.00619225,deposit,2025-01-17T15:07:24.531006Z,561-1511-1521-1561-1100
NGN,85000,withdrawal,2025-03-12T11:14:20.445284Z,551-1971-1521-1561-148
NGN,86754,withdrawal,2025-03-12T13:29:12.145194Z,971-11011-1521-1561-148
BTC,0.00049317,deposit,2025-01-17T15:07:26.597355Z,1021-1991-1521-1571-156
BTC,0.00066665,deposit,2025-01-17T15:07:27.940461Z,551-1501-1521-1971-155
NGN,20000,withdrawal,2025-01-17T15:07:32.090292Z,491-1511-1521-1561-1100
NGN,550502,deposit,2025-01-17T15:07:37.627625Z,481-11011-1521-1971-1100
BTC,0.00048414,deposit,2025-01-17T15:07:39.067539Z,531-11001-1521-1561-149
NGN,22100,withdrawal,2025-01-17T15:07:40.047028Z,491-1511-1521-1561-1100
BTC,0.00216115,deposit,2025-01-17T15:07:41.450339Z,491-1521-1521-1971-197
NGN,25000,deposit,2025-01-17T15:07:46.613382Z,1021-1501-1521-1981-157
NGN,12150,withdrawal,2025-03-12T15:06:00.409808Z,1011-1531-1521-1571-151
NGN,579647,deposit,2025-01-17T15:07:53.627471Z,491-1541-1521-1571-156
BTC,0.00435715,deposit,2025-03-12T11:14:23.360211Z,521-1981-1521-1971-199
NGN,2500,withdrawal,2025-01-17T15:08:06.439641Z,511-11011-1521-1561-153
NGN,2600,withdrawal,2025-01-17T15:08:34.482906Z,1011-11001-1521-1981-1101
NGN,10000,withdrawal,2025-01-17T15:08:58.274034Z,1011-11011-1521-1561-156
NGN,1000000,deposit,2025-01-17T15:08:59.694081Z,1011-1501-1521-1571-199
NGN,50000,withdrawal,2025-01-17T15:09:07.901206Z,991-1511-1521-1971-1102
USDT,86.8605,deposit,2025-01-17T15:09:11.16628Z,1021-11011-1521-1981-155
LTC,0.00332,withdrawal,2025-01-17T14:58:22.784016Z,541-1561-1521-1971-157
NGN,49000,withdrawal,2025-01-17T15:09:36.964913Z,481-1971-1521-1561-199
NGN,210000,deposit,2025-01-17T15:09:47.351557Z,481-11011-1521-1971-1100
TRX,123.503054,deposit,2025-01-17T15:10:08.282935Z,971-11011-1521-1971-153
NGN,10000,withdrawal,2025-03-12T11:14:28.408164Z,571-1501-1521-1981-199
NGN,10000,deposit,2025-03-12T11:14:28.414615Z,551-11021-1521-1971-199
NGN,16531,withdrawal,2025-01-17T15:10:53.928689Z,491-1551-1521-1981-198
NGN,75576,withdrawal,2025-01-17T15:11:09.969215Z,971-1481-1521-1971-149
NGN,760000,withdrawal,2025-01-17T15:11:12.106367Z,481-11011-1521-1971-1100
NGN,1060391,withdrawal,2025-04-01T12:02:17.310354Z,541-11011-1521-1981-151
NGN,25611,deposit,2025-01-17T15:11:18.625366Z,1021-1501-1521-1981-157
USDT,20,deposit,2025-03-12T16:57:21.730613Z,541-1541-1521-1981-197
NGN,24500,deposit,2025-01-17T15:12:18.212824Z,1021-1501-1521-1981-157
SOL,0.15732,deposit,2025-01-17T15:12:36.915322Z,1021-1481-1521-1561-1100
NGN,40000,withdrawal,2025-03-12T11:14:47.923399Z,521-1551-1521-1561-1101
NGN,999000,withdrawal,2025-01-17T15:13:01.370753Z,551-11021-1521-1561-1102
NGN,15150,deposit,2025-01-17T15:13:01.787444Z,991-1541-1521-1561-1102
NGN,13725,withdrawal,2025-01-17T15:13:11.330592Z,551-1481-1521-1981-1100
NGN,142241,withdrawal,2025-01-17T15:13:53.808921Z,1021-11011-1521-1981-155
ETH,0.00127519,deposit,2025-01-17T15:13:56.567393Z,521-1571-1521-1561-154
USDT,83.6833,deposit,2025-01-17T15:14:08.765295Z,481-11021-1521-1971-150
NGN,14303,withdrawal,2025-01-17T17:34:04.070426Z,501-11011-1521-1981-197
TRX,32.3,withdrawal,2025-01-17T15:14:08.840681Z,991-1541-1521-1561-1102
TRX,39,withdrawal,2025-03-12T15:06:12.461074Z,561-1491-1521-1971-199
NGN,31000,withdrawal,2025-01-17T15:14:21.062172Z,481-1531-1521-1971-1100
NGN,52100,withdrawal,2025-01-17T15:14:25.627724Z,981-1481-1521-1971-1100
NGN,15154,withdrawal,2025-01-17T15:14:28.343445Z,541-1991-1521-1571-1102
NGN,20000,withdrawal,2025-01-17T15:14:54.092666Z,1001-1971-1521-1981-1102
NGN,81916,withdrawal,2025-01-17T15:14:58.660398Z,551-1551-1521-1561-1100
NGN,81916,deposit,2025-01-17T15:14:58.66608Z,491-1541-1521-1571-156
NGN,10000,withdrawal,2025-03-12T13:29:31.27632Z,491-1521-1521-1971-197
BTC,0.00047182,deposit,2025-01-17T15:15:18.530255Z,981-1531-1521-1571-154
BTC,0.0005172,deposit,2025-01-17T15:15:23.191971Z,571-1971-1521-1971-157
BTC,0.0002,deposit,2025-01-17T15:15:24.227627Z,541-1991-1521-1561-157
NGN,10000,withdrawal,2025-03-12T11:14:55.059659Z,521-1551-1521-1561-1101
BTC,0.00150347,deposit,2025-01-17T15:15:44.018172Z,571-1531-1521-1971-199
NGN,51000,withdrawal,2025-01-17T15:15:44.278536Z,971-1491-1521-1971-1102
USDT,7.413158,deposit,2025-01-17T15:15:55.981096Z,1001-1991-1521-1561-157
NGN,23000,withdrawal,2025-01-17T15:16:05.110477Z,501-11021-1521-1971-155
NGN,200000,withdrawal,2025-03-12T17:28:33.886247Z,501-1521-1521-1971-1102
NGN,49290,withdrawal,2025-01-17T15:16:34.443812Z,481-1551-1521-1561-153
USDT,80,deposit,2025-01-17T15:16:49.122705Z,531-1971-1521-1561-154
NGN,7950,withdrawal,2025-01-17T15:17:11.039446Z,511-1531-1521-1971-198
USDT,309.62707,deposit,2025-01-17T15:17:43.988209Z,1011-1561-1521-1981-151
LTC,0.043975,withdrawal,2025-01-17T15:01:33.525868Z,1011-1541-1521-1561-149
NGN,3000,withdrawal,2025-01-17T15:18:27.433203Z,1021-1551-1521-1981-1102
USDT,30,deposit,2025-01-17T15:18:33.582364Z,551-1521-1521-1571-198
NGN,20000,deposit,2025-03-12T13:29:40.143338Z,481-1971-1521-1971-154
NGN,15200,withdrawal,2025-01-17T15:19:21.062602Z,991-1541-1521-1981-151
NGN,200000,withdrawal,2025-01-17T15:19:37.409301Z,481-1551-1521-1981-157
USDT,16.849983,deposit,2025-01-17T15:19:48.756706Z,991-1551-1521-1571-154
NGN,10000,withdrawal,2025-03-12T13:29:41.880984Z,491-1521-1521-1971-197
NGN,13011,withdrawal,2025-03-12T11:15:14.550968Z,571-11011-1521-1561-199
NGN,30000,withdrawal,2025-01-17T15:21:05.982122Z,1001-1971-1521-1561-151
BTC,0.00195238,deposit,2025-01-17T15:21:59.409941Z,1011-1561-1521-1981-151
NGN,144625,withdrawal,2025-03-12T16:08:31.51163Z,551-1991-1521-1561-1101
NGN,4000,withdrawal,2025-03-12T16:57:54.619035Z,491-1561-1521-1971-150
BTC,0.0006727,deposit,2025-01-17T15:22:22.10964Z,501-1501-1521-1561-156
BTC,0.00048683,deposit,2025-01-17T15:22:30.217391Z,481-1531-1521-1971-1100
BTC,0.0003548,deposit,2025-01-17T15:22:34.193387Z,551-1981-1521-1571-1102
BTC,0.00012485,deposit,2025-01-17T15:22:37.785632Z,1001-1971-1521-1561-148
BTC,0.00048983,deposit,2025-01-17T15:22:38.690992Z,531-1491-1521-1981-156
NGN,5000,withdrawal,2025-03-12T11:15:33.928171Z,541-11021-1521-1571-199
NGN,10100,withdrawal,2025-03-12T16:08:34.895138Z,1021-1551-1521-1971-149
NGN,32169,withdrawal,2025-01-17T15:23:24.859884Z,1001-11001-1521-1981-156
NGN,46100,withdrawal,2025-03-12T11:15:42.087126Z,511-1521-1521-1571-150
NGN,10000,withdrawal,2025-01-17T15:23:41.795512Z,501-1521-1521-1561-150
NGN,999000,withdrawal,2025-03-12T16:08:36.348302Z,551-11021-1521-1561-1102
NGN,999000,deposit,2025-03-12T16:08:36.353596Z,491-1541-1521-1571-156
NGN,60000,withdrawal,2025-01-17T15:23:53.201012Z,501-1521-1521-1561-150
NGN,94000,withdrawal,2025-01-17T15:23:55.737323Z,571-1991-1521-1571-153
NGN,15000,withdrawal,2025-01-17T15:24:09.014885Z,571-1981-1521-1561-148
USDT,50,deposit,2025-01-17T15:24:24.485386Z,1001-1971-1521-1561-151
NGN,130926,withdrawal,2025-01-17T15:24:27.398856Z,531-1971-1521-1561-154
NGN,2130,withdrawal,2025-01-17T15:24:33.733737Z,551-1531-1521-1571-1102
NGN,5000,withdrawal,2025-01-17T15:25:04.264772Z,501-1511-1521-1561-1100
LTC,0.11152019,deposit,2025-03-12T16:58:05.509166Z,1001-1521-1521-1971-1102
USDT,84.920336,deposit,2025-03-12T17:41:55.293216Z,481-1531-1521-1971-152
NGN,24255,deposit,2025-01-17T15:25:15.450076Z,1021-1501-1521-1981-157
SOL,0.04565376,deposit,2025-01-17T15:25:22.825389Z,1001-11001-1521-1981-156
NGN,50000,withdrawal,2025-01-17T15:25:31.140516Z,1021-1521-1521-1561-148
NGN,50000,deposit,2025-01-17T15:25:31.156524Z,991-1491-1521-1971-154
NGN,3900,withdrawal,2025-01-17T15:25:36.849426Z,531-1481-1521-1971-151
NGN,8261,withdrawal,2025-01-17T15:26:12.194543Z,981-1571-1521-1971-151
NGN,39989,withdrawal,2025-01-17T15:26:18.020845Z,981-1571-1521-1971-151
USDT,13.839947,deposit,2025-03-12T11:16:12.403625Z,531-1561-1521-1561-198
USDT,18.152731,deposit,2025-03-12T11:16:17.266925Z,1001-1991-1521-1561-157
NGN,60000,withdrawal,2025-03-12T16:58:22.304619Z,551-11021-1521-1571-197
NGN,10000,withdrawal,2025-03-12T17:42:02.218943Z,521-1571-1521-1561-1102
USDT,41,deposit,2025-01-17T15:27:40.026389Z,1021-1491-1521-1561-150
NGN,16984,withdrawal,2025-01-17T15:28:02.572859Z,991-1481-1521-1971-156
BNB,0.02225696,deposit,2025-01-17T15:28:23.23463Z,971-11001-1521-1571-1101
NGN,600150,deposit,2025-01-17T15:28:23.883752Z,511-1971-1521-1971-152
NGN,5000,withdrawal,2025-01-17T15:28:36.566561Z,991-11011-1521-1561-1100
USDT,35.71617,deposit,2025-03-12T13:30:28.256263Z,981-1541-1521-1971-156
NGN,50000,withdrawal,2025-03-12T15:06:33.841386Z,531-11001-1521-1571-198
NGN,145209,deposit,2025-01-17T15:28:46.832713Z,481-11011-1521-1971-1100
NGN,35581,withdrawal,2025-01-17T15:28:51.565919Z,991-1541-1521-1971-153
NGN,15000,withdrawal,2025-01-17T15:28:57.054717Z,991-11011-1521-1561-1100
NGN,200000,withdrawal,2025-01-17T15:29:28.462907Z,981-1481-1521-1561-153
NGN,29999,deposit,2025-01-17T15:29:37.584767Z,1021-1501-1521-1981-157
NGN,2200,withdrawal,2025-01-17T15:29:44.867574Z,1011-11001-1521-1981-1101
NGN,19352,withdrawal,2025-01-17T15:30:46.487898Z,1001-1971-1521-1561-148
BTC,0.00133954,deposit,2025-01-17T15:30:56.610796Z,521-1511-1521-1571-1100
NGN,7052,withdrawal,2025-01-17T15:31:04.681398Z,521-1571-1521-1561-154
BTC,0.000854,deposit,2025-01-17T15:31:11.008307Z,571-1491-1521-1971-197
NGN,30000,deposit,2025-01-17T15:31:42.800208Z,1021-1501-1521-1981-157
NGN,17100,withdrawal,2025-03-12T11:16:34.285679Z,511-1491-1521-1561-1102
LTC,0.02229262,deposit,2025-01-17T15:32:00.702141Z,491-1521-1521-1571-1100
NGN,3051,withdrawal,2025-03-12T11:16:41.106719Z,561-1571-1521-1561-1100
NGN,4630,withdrawal,2025-03-12T13:30:39.825706Z,571-1521-1521-1981-156
NGN,1000000,withdrawal,2025-01-17T15:32:06.974931Z,491-1561-1521-1571-150
NGN,60000,withdrawal,2025-01-17T15:32:26.472994Z,551-1541-1521-1981-199
BNB,0.0067335,deposit,2025-01-17T15:32:39.182516Z,541-1491-1521-1561-155
NGN,5000,withdrawal,2025-01-17T15:32:51.318154Z,531-1481-1521-1971-151
NGN,8669,withdrawal,2025-01-17T15:33:37.880689Z,991-1511-1521-1561-198
NGN,3171,withdrawal,2025-01-17T15:33:43.387008Z,561-1531-1521-1981-156
NGN,22000,deposit,2025-01-17T15:35:03.84717Z,1021-1501-1521-1981-157
NGN,16690,withdrawal,2025-03-12T15:06:43.245497Z,501-11021-1521-1561-154
NGN,57000,withdrawal,2025-01-17T15:35:10.034288Z,1021-1991-1521-1561-148
NGN,35000,withdrawal,2025-01-17T15:35:30.838559Z,571-1491-1521-1971-197
NGN,24000,deposit,2025-03-12T13:31:11.674073Z,981-1501-1521-1971-148
SOL,0.03,deposit,2025-01-17T15:36:01.105149Z,981-1971-1521-1981-199
DOGE,119.4831975,deposit,2025-01-17T15:27:03.17829Z,501-1531-1521-1971-199
NGN,17118,withdrawal,2025-01-17T15:36:23.402252Z,981-1971-1521-1981-199
NGN,32836,withdrawal,2025-01-17T15:36:39.897599Z,481-11011-1521-1971-1101
NGN,16423,withdrawal,2025-01-17T15:36:58.533709Z,481-11011-1521-1971-1101
NGN,1200,deposit,2025-03-12T11:17:04.828618Z,551-11021-1521-1971-199
USDT,107.1,deposit,2025-01-17T15:37:10.768874Z,481-1491-1521-1571-198
NGN,98000,withdrawal,2025-04-01T12:05:02.867132Z,501-11011-1521-1561-156
NGN,32717,deposit,2025-01-17T15:37:32.129212Z,1021-1501-1521-1981-157
NGN,30000,withdrawal,2025-01-17T15:38:02.60558Z,541-1511-1521-1971-152
USDT,118.4,deposit,2025-01-17T15:38:08.960648Z,1011-1481-1521-1981-149
NGN,4000,withdrawal,2025-01-17T15:38:29.797401Z,481-11001-1521-1981-149
ETH,0.14032582,deposit,2025-01-17T15:38:36.817422Z,521-1511-1521-1981-151
NGN,30100,withdrawal,2025-01-17T15:38:37.945401Z,481-1511-1521-1971-152
NGN,13918,withdrawal,2025-01-17T15:39:13.621545Z,521-1511-1521-1561-149
BTC,0.00120362,deposit,2025-01-17T15:39:28.027521Z,541-1541-1521-1571-155
BTC,0.00437859,deposit,2025-01-17T15:39:28.749427Z,991-1541-1521-1971-156
BTC,0.00097869,deposit,2025-01-17T15:39:29.401695Z,541-1971-1521-1561-150
BTC,0.00023382,deposit,2025-01-17T15:39:29.788002Z,1001-1991-1521-1971-197
NGN,10000,withdrawal,2025-01-17T15:39:32.425394Z,1021-11001-1521-1971-152
NGN,30326,deposit,2025-03-12T11:17:25.171813Z,1021-1501-1521-1981-157
USDT,47.1726,deposit,2025-03-12T16:58:31.074713Z,991-1981-1521-1971-154
BTC,0.00043054,deposit,2025-01-17T15:39:31.39346Z,971-1531-1521-1971-1101
BTC,0.006,deposit,2025-01-17T15:39:33.723498Z,531-1501-1521-1571-1102
BTC,0.0092694,deposit,2025-01-17T15:39:35.594131Z,511-1521-1521-1981-149
NGN,27600,withdrawal,2025-01-17T15:39:36.439134Z,991-1551-1521-1571-154
NGN,43000,withdrawal,2025-03-12T11:17:32.946173Z,571-1491-1521-1571-149
USDT,19,deposit,2025-01-17T15:39:58.389005Z,491-1491-1521-1981-156
NGN,15000,withdrawal,2025-03-12T16:58:32.962327Z,511-1561-1521-1981-199
NGN,16000,withdrawal,2025-01-17T15:41:01.010529Z,531-1561-1521-1561-198
BNB,0.00628461,deposit,2025-01-17T15:41:06.023819Z,551-11011-1521-1971-197
USDT,499.05,deposit,2025-01-17T15:41:25.866202Z,1001-1551-1521-1571-148
NGN,15869,withdrawal,2025-01-17T15:41:27.489449Z,1001-11001-1521-1981-156
NGN,410000,withdrawal,2025-01-17T15:41:30.267338Z,491-1981-1521-1561-156
NGN,410000,deposit,2025-01-17T15:41:30.275926Z,481-11011-1521-1971-1100
NGN,307852,withdrawal,2025-01-17T15:41:41.828899Z,981-1481-1521-1971-1100
